epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.2362,2.34024,0.18571,0.7,2.27454,0.000211556,0.000211556,0.000211556
2,18.6398,2.09769,0.38571,0.91429,1.95478,0.000443992,0.000443992,0.000443992
3,19.8517,1.78046,0.55714,0.97143,1.63482,0.000670539,0.000670539,0.000670539
4,21.278,1.30546,0.64286,0.98571,0.93143,0.000687493,0.000687493,0.000687493
5,22.8063,0.81999,0.88571,1,0.435,0.000678657,0.000678657,0.000678657
6,24.3722,0.46834,0.97143,1,0.31226,0.000669821,0.000669821,0.000669821
7,25.9767,0.2572,0.97143,1,0.09895,0.000660986,0.000660986,0.000660986
8,27.86,0.14698,0.97143,1,0.07151,0.00065215,0.00065215,0.00065215
9,30.8555,0.17462,0.98571,1,0.06035,0.000643314,0.000643314,0.000643314
10,33.5574,0.11744,1,1,0.02528,0.000634478,0.000634478,0.000634478
11,36.4455,0.09598,1,1,0.01134,0.000625642,0.000625642,0.000625642
12,39.212,0.10579,1,1,0.05359,0.000616807,0.000616807,0.000616807
13,42.3281,0.09504,1,1,0.03117,0.000607971,0.000607971,0.000607971
14,44.9797,0.10596,1,1,0.06719,0.000599135,0.000599135,0.000599135
15,47.5638,0.09282,1,1,0.03765,0.0005903,0.0005903,0.0005903
16,50.229,0.09515,1,1,0.04031,0.000581464,0.000581464,0.000581464
17,52.7564,0.07857,1,1,0.01164,0.000572628,0.000572628,0.000572628
18,55.5196,0.04693,1,1,0.01431,0.000563792,0.000563792,0.000563792
19,57.9698,0.10733,1,1,0.04262,0.000554956,0.000554956,0.000554956
20,60.8305,0.11639,1,1,0.01286,0.000546121,0.000546121,0.000546121
21,63.4137,0.11746,1,1,0.02208,0.000537285,0.000537285,0.000537285
22,66.0585,0.10653,1,1,0.0069,0.000528449,0.000528449,0.000528449
23,68.9474,0.06818,1,1,0.01016,0.000519613,0.000519613,0.000519613
24,71.5558,0.10308,1,1,0.00611,0.000510778,0.000510778,0.000510778
25,74.3772,0.11958,1,1,0.00473,0.000501942,0.000501942,0.000501942
26,76.9901,0.07145,1,1,0.01692,0.000493106,0.000493106,0.000493106
27,79.6537,0.09428,1,1,0.00465,0.000484271,0.000484271,0.000484271
28,82.3878,0.07866,1,1,0.00321,0.000475435,0.000475435,0.000475435
29,85.0391,0.08746,1,1,0.02665,0.000466599,0.000466599,0.000466599
30,87.5526,0.05681,0.98571,1,0.02724,0.000457763,0.000457763,0.000457763
31,90.321,0.11227,1,1,0.008,0.000448928,0.000448928,0.000448928
32,92.7663,0.04171,1,1,0.00685,0.000440092,0.000440092,0.000440092
33,95.6239,0.08112,1,1,0.0048,0.000431256,0.000431256,0.000431256
34,97.9867,0.06777,1,1,0.00273,0.00042242,0.00042242,0.00042242
35,100.457,0.09219,1,1,0.00157,0.000413584,0.000413584,0.000413584
36,103.129,0.06925,1,1,0.00143,0.000404749,0.000404749,0.000404749
37,105.547,0.07688,1,1,0.00231,0.000395913,0.000395913,0.000395913
38,108.133,0.06609,1,1,0.00198,0.000387077,0.000387077,0.000387077
39,110.509,0.03293,1,1,0.00254,0.000378242,0.000378242,0.000378242
40,113.052,0.09054,1,1,0.00167,0.000369406,0.000369406,0.000369406
41,115.443,0.09941,1,1,0.00266,0.00036057,0.00036057,0.00036057
42,118.026,0.07587,1,1,0.00968,0.000351734,0.000351734,0.000351734
