epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.5448,2.47098,0.1831,0.57746,2.20148,0.0001875,0.0001875,0.0001875
2,20.3256,2.20128,0.33803,0.8169,2.24767,0.000390935,0.000390935,0.000390935
3,22.3873,1.95517,0.49296,0.88732,1.78713,0.000589214,0.000589214,0.000589214
4,24.2913,1.54709,0.6338,0.94366,1.54179,0.000601797,0.000601797,0.000601797
5,25.9039,1.12541,0.76056,0.94366,0.91266,0.000594062,0.000594062,0.000594062
6,27.8236,0.76039,0.92958,0.94366,0.55386,0.000586328,0.000586328,0.000586328
7,29.8428,0.55122,0.94366,0.94366,0.42018,0.000578594,0.000578594,0.000578594
8,31.3393,0.41496,0.92958,0.94366,0.39886,0.000570859,0.000570859,0.000570859
9,33.1229,0.44145,0.94366,0.94366,0.42794,0.000563125,0.000563125,0.000563125
10,36.4049,0.23395,0.94366,0.94366,0.35507,0.000555391,0.000555391,0.000555391
11,38.6239,0.19198,0.94366,0.94366,0.43888,0.000547656,0.000547656,0.000547656
12,40.8377,0.4688,0.94366,0.94366,0.39999,0.000539922,0.000539922,0.000539922
13,42.9247,0.42879,0.91549,0.94366,0.46442,0.000532187,0.000532187,0.000532187
14,46.1573,0.2709,0.92958,0.94366,0.38076,0.000524453,0.000524453,0.000524453
15,48.3249,0.31982,0.94366,0.94366,1.08263,0.000516719,0.000516719,0.000516719
16,50.4834,0.4182,0.92958,0.94366,0.37095,0.000508984,0.000508984,0.000508984
17,52.5561,0.383,0.94366,0.94366,0.39341,0.00050125,0.00050125,0.00050125
18,55.861,0.21046,0.94366,0.94366,0.41373,0.000493516,0.000493516,0.000493516
19,57.6003,0.27667,0.94366,0.94366,1.04291,0.000485781,0.000485781,0.000485781
20,59.4981,0.35387,0.94366,0.94366,1.08592,0.000478047,0.000478047,0.000478047
21,61.3752,0.15524,0.94366,0.94366,0.31222,0.000470312,0.000470312,0.000470312
22,64.6306,0.28379,0.92958,0.94366,1.62624,0.000462578,0.000462578,0.000462578
23,66.5592,0.37585,0.94366,0.94366,0.92382,0.000454844,0.000454844,0.000454844
24,68.4768,0.51474,0.92958,0.94366,0.37747,0.000447109,0.000447109,0.000447109
25,70.5016,0.25977,0.94366,0.94366,0.49826,0.000439375,0.000439375,0.000439375
26,73.3738,0.21679,0.94366,0.94366,1.60307,0.000431641,0.000431641,0.000431641
27,75.3481,0.21998,0.94366,0.94366,2.30658,0.000423906,0.000423906,0.000423906
