epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,69.6008,1.5307,7.34153,0.04467,0.00119,0.44444,0.03584,0.00827,1.23549,13.4065,0.04991,0.000205067,0.000205067,0.000205067
2,115.492,1.37501,6.3413,0.03914,0.00125,0.44444,0.01454,0.005,1.11451,13.2416,0.04468,0.00045569,0.00045569,0.00045569
3,369.809,1.17939,6.53155,0.03152,0.00159,0.55556,0.02317,0.00654,1.09357,13.0509,0.04232,0.000699969,0.000699969,0.000699969
4,505.66,1.0946,6.69742,0.03087,0.0039,0.61111,0.01756,0.00694,1.23451,13.2723,0.04814,0.000740451,0.000740451,0.000740451
5,594.892,1.1126,6.5305,0.03114,0.01972,0.88889,0.09609,0.03592,1.18331,13.2087,0.04782,0.000730935,0.000730935,0.000730935
6,702.416,1.21566,6.41471,0.03331,0.01218,0.88889,0.1988,0.07248,1.14153,13.1573,0.04719,0.000721418,0.000721418,0.000721418
7,869.137,1.15782,6.38976,0.03134,0.00656,0.94444,0.18489,0.07149,1.05039,12.9974,0.04216,0.000711902,0.000711902,0.000711902
8,1078.9,1.0207,6.23005,0.02776,0.0052,0.94444,0.24607,0.10476,1.02755,12.9238,0.04148,0.000702385,0.000702385,0.000702385
9,1362.01,1.01454,6.10121,0.02691,0.00419,1,0.20634,0.10105,1.07927,12.9248,0.0421,0.000692869,0.000692869,0.000692869
10,1455.77,1.10778,6.0256,0.03041,0.00406,1,0.22267,0.10894,0.98192,12.7592,0.03827,0.000683353,0.000683353,0.000683353
11,1581.15,1.01142,5.88199,0.02579,0.00402,1,0.20299,0.09594,0.91898,12.6521,0.03462,0.000673836,0.000673836,0.000673836
12,1699.94,1.16822,5.90464,0.02911,0.0041,1,0.20372,0.09401,0.94637,12.685,0.03542,0.00066432,0.00066432,0.00066432
13,1744.35,1.08992,5.91425,0.02898,0.00399,1,0.19403,0.09523,0.97149,12.5948,0.03699,0.000654804,0.000654804,0.000654804
14,1823.13,1.07982,5.97747,0.02814,0.00406,1,0.16167,0.0849,0.7831,12.2805,0.02873,0.000645287,0.000645287,0.000645287
15,1942.73,1.04017,5.79899,0.02698,0.0043,1,0.13258,0.071,0.58619,11.9327,0.02042,0.000635771,0.000635771,0.000635771
16,2041.74,0.93583,5.49659,0.02371,0.00446,1,0.1264,0.06712,0.698,12.0137,0.0254,0.000626254,0.000626254,0.000626254
17,2171.4,1.00577,5.54008,0.02711,0.00434,1,0.10293,0.06259,0.67603,11.8311,0.02288,0.000616738,0.000616738,0.000616738
18,2238.45,0.95963,5.54049,0.02466,0.00419,1,0.10788,0.06615,0.71377,11.8199,0.0241,0.000607222,0.000607222,0.000607222
19,2282.6,0.92951,5.30248,0.02527,0.00411,1,0.1227,0.08153,0.83487,11.8323,0.0286,0.000597705,0.000597705,0.000597705
20,2433.7,1.00718,5.39794,0.02661,0.71451,0.05556,0.17096,0.11332,0.77315,11.659,0.02642,0.000588189,0.000588189,0.000588189
21,2609.65,0.90871,5.57218,0.02515,0.33173,0.14349,0.17368,0.09971,0.7906,11.4839,0.02718,0.000578672,0.000578672,0.000578672
22,2735.86,1.04054,5.28777,0.02694,0.21409,0.16321,0.17982,0.1071,0.90252,11.4776,0.03241,0.000569156,0.000569156,0.000569156
23,2874.03,1.04111,5.39098,0.02773,0.0944,0.23415,0.20049,0.11466,0.96936,11.436,0.03752,0.00055964,0.00055964,0.00055964
24,3089.64,0.94334,5.32802,0.02466,0.09275,0.22222,0.17686,0.10705,0.97111,11.3288,0.03652,0.000550123,0.000550123,0.000550123
25,3274.38,0.98224,5.09775,0.02551,0.13996,0.2538,0.1992,0.1202,0.93537,10.976,0.03491,0.000540607,0.000540607,0.000540607
26,3407.72,0.99542,5.3153,0.02605,0.12792,0.33333,0.19206,0.10048,0.86259,10.7674,0.03157,0.000531091,0.000531091,0.000531091
27,3436.72,0.94718,4.89361,0.02391,0.10667,0.33333,0.18948,0.08654,0.85256,10.6197,0.0316,0.000521574,0.000521574,0.000521574
28,3562.42,1.02298,5.0396,0.02853,0.0595,0.27778,0.14949,0.07981,0.9,10.5575,0.03488,0.000512058,0.000512058,0.000512058
29,3666.6,0.93764,4.9719,0.02557,0.09827,0.27778,0.1417,0.07685,0.97081,10.3406,0.03691,0.000502541,0.000502541,0.000502541
30,3790.62,1.09079,5.11813,0.03002,0.07849,0.27754,0.13092,0.08267,0.8918,10.1259,0.03256,0.000493025,0.000493025,0.000493025
31,4051.6,1.06222,4.97085,0.02774,0.06158,0.27778,0.14743,0.09195,0.8464,10.0355,0.03128,0.000483509,0.000483509,0.000483509
32,4294.74,0.99227,4.7152,0.02591,0.07263,0.33141,0.1378,0.08907,0.89328,9.9922,0.03314,0.000473992,0.000473992,0.000473992
33,4428.37,0.95106,4.68927,0.02661,0.08931,0.22016,0.16604,0.10455,0.87639,9.82355,0.03048,0.000464476,0.000464476,0.000464476
34,4559.36,0.96213,4.59052,0.0258,0.08135,0.22222,0.16298,0.11089,0.83431,9.75257,0.02825,0.00045496,0.00045496,0.00045496
35,4651.1,0.94437,4.61948,0.02392,0.06372,0.22222,0.15608,0.1065,0.78711,9.74954,0.02867,0.000445443,0.000445443,0.000445443
36,4716.34,1.07625,4.59897,0.02968,0.05631,0.22222,0.15239,0.10471,0.87366,9.79275,0.03044,0.000435927,0.000435927,0.000435927
37,4762.71,0.98709,4.93673,0.02717,0.06412,0.22222,0.12065,0.07223,0.90954,9.79742,0.03183,0.000426411,0.000426411,0.000426411
38,4842.9,1.00716,4.56469,0.02594,0.04754,0.28411,0.12372,0.07175,0.99725,9.88513,0.03487,0.000416894,0.000416894,0.000416894
39,4914.51,0.93869,4.56673,0.02396,0.07286,0.22222,0.12992,0.07613,0.96671,9.86601,0.03227,0.000407378,0.000407378,0.000407378
40,5081.17,0.92852,4.58852,0.02343,0.06917,0.22222,0.13193,0.08065,1.02306,9.83257,0.03642,0.000397861,0.000397861,0.000397861
41,5197.36,0.9991,4.45184,0.02585,0.06847,0.31769,0.13564,0.08735,0.88176,9.49427,0.03062,0.000388345,0.000388345,0.000388345
42,5260.67,0.88345,4.5727,0.02137,0.05395,0.25207,0.1326,0.08633,0.8962,9.37525,0.03072,0.000378829,0.000378829,0.000378829
43,5359.12,0.9767,4.26606,0.0255,0.05354,0.28513,0.12925,0.08617,0.94483,9.27875,0.03341,0.000369312,0.000369312,0.000369312
44,5453.71,0.99065,4.53886,0.026,0.05171,0.27778,0.14767,0.10135,0.90594,9.14995,0.03235,0.000359796,0.000359796,0.000359796
