epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,8.62496,1.95995,9.64449,0.03183,0,0,0,0,0.66436,9.66143,0.01069,0,0,0
2,10.1579,1.42254,9.46404,0.0147,0,0,0,0,0.66436,9.66143,0.01069,9.60596e-05,9.60596e-05,9.60596e-05
3,11.5944,1.06039,8.9079,0.00924,0,0,0,0,0.66436,9.66143,0.01069,0.000188238,0.000188238,0.000188238
4,13.4333,2.61542,10.4925,0.04638,0,0,0,0,0.70434,9.62535,0.01079,0.000276536,0.000276536,0.000276536
5,14.8867,1.77823,7.08934,0.01196,0,0,0,0,0.70434,9.62535,0.01079,0.000270715,0.000270715,0.000270715
6,16.6693,0.86986,11.4986,0.01306,0,0,0,0,0.70434,9.62535,0.01079,0.000264894,0.000264894,0.000264894
7,18.3744,1.2286,9.21076,0.00823,0,0,0,0,0.54222,9.74364,0.00974,0.000259073,0.000259073,0.000259073
8,20.1423,0.79316,7.28822,0.00684,0,0,0,0,0.54222,9.74364,0.00974,0.000253252,0.000253252,0.000253252
9,21.8017,1.11081,11.6299,0.01523,0,0,0,0,0.54222,9.74364,0.00974,0.00024743,0.00024743,0.00024743
10,23.3822,0.60489,12.2082,0.0063,0,0,0,0,0.3959,9.84096,0.00588,0.000241609,0.000241609,0.000241609
11,25.2585,0.76673,11.4198,0.01443,0,0,0,0,0.3959,9.84096,0.00588,0.000235788,0.000235788,0.000235788
12,26.7891,1.17945,6.77521,0.00703,0,0,0,0,0.3959,9.84096,0.00588,0.000229967,0.000229967,0.000229967
13,28.4409,0.92622,10.8648,0.01773,0,0,0,0,0.31218,9.89204,0.00359,0.000224146,0.000224146,0.000224146
14,30.1249,0,7.97758,0,0,0,0,0,0.31218,9.89204,0.00359,0.000218324,0.000218324,0.000218324
15,31.5279,1.33883,6.43164,0.00709,0,0,0,0,0.31218,9.89204,0.00359,0.000212503,0.000212503,0.000212503
16,33.3688,1.03502,8.54279,0.00776,0,0,0,0,0.25184,9.92643,0.00358,0.000206682,0.000206682,0.000206682
17,34.8377,0.67915,8.29491,0.00557,0,0,0,0,0.25184,9.92643,0.00358,0.000200861,0.000200861,0.000200861
18,36.5627,0.54026,8.17978,0.0043,0,0,0,0,0.25184,9.92643,0.00358,0.00019504,0.00019504,0.00019504
19,38.1749,0.67962,10.6729,0.0113,0,0,0,0,0.2195,9.94001,0.00397,0.000189218,0.000189218,0.000189218
20,39.5626,0.66034,10.8574,0.00727,0,0,0,0,0.2195,9.94001,0.00397,0.000183397,0.000183397,0.000183397
21,40.9939,1.05324,8.43662,0.00898,0,0,0,0,0.2195,9.94001,0.00397,0.000177576,0.000177576,0.000177576
22,42.6876,0.57272,6.01153,0.00465,0,0,0,0,0.20565,9.95547,0.00258,0.000171755,0.000171755,0.000171755
23,44.0698,0.63207,10.7532,0.01028,0,0,0,0,0.20565,9.95547,0.00258,0.000165934,0.000165934,0.000165934
24,45.4074,0.97907,8.47048,0.00828,0,0,0,0,0.20565,9.95547,0.00258,0.000160112,0.000160112,0.000160112
25,47.0355,1.12548,6.40103,0.00758,0,0,0,0,0.19571,9.95501,0.00279,0.000154291,0.000154291,0.000154291
26,48.4159,0.3824,7.62135,0.00316,0,0,0,0,0.19571,9.95501,0.00279,0.00014847,0.00014847,0.00014847
27,50.1427,1.18436,6.12774,0.00583,0,0,0,0,0.19571,9.95501,0.00279,0.000142649,0.000142649,0.000142649
28,51.8282,0.41144,6.68442,0.0035,0,0,0,0,0.17842,9.93126,0.0021,0.000136828,0.000136828,0.000136828
29,53.2118,1.30951,6.79395,0.01125,0,0,0,0,0.17842,9.93126,0.0021,0.000131006,0.000131006,0.000131006
30,54.646,0.59436,7.85314,0.00582,0,0,0,0,0.17842,9.93126,0.0021,0.000125185,0.000125185,0.000125185
31,56.2478,0.52153,7.58181,0.0062,0,0,0,0,0.80425,8.80863,0.00998,0.000119364,0.000119364,0.000119364
32,57.628,0.27697,10.6017,0.00287,0,0,0,0,0.80425,8.80863,0.00998,0.000113543,0.000113543,0.000113543
33,59.0593,0.97664,10.6076,0.00777,0,0,0,0,0.80425,8.80863,0.00998,0.000107722,0.000107722,0.000107722
34,60.8261,0.83718,8.33446,0.00521,0,0,0,0,0.73683,8.83262,0.00957,0.0001019,0.0001019,0.0001019
35,62.263,0.85036,7.73021,0.00498,0,0,0,0,0.73683,8.83262,0.00957,9.60792e-05,9.60792e-05,9.60792e-05
36,63.6708,0.82696,7.88594,0.0063,0,0,0,0,0.73683,8.83262,0.00957,9.0258e-05,9.0258e-05,9.0258e-05
37,65.2951,0.83099,8.14069,0.00801,0,0,0,0,0.71651,8.82658,0.00964,8.44368e-05,8.44368e-05,8.44368e-05
